Date,Team,OppTeam,Time/Score
20240324,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - West Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - West Region - 2nd Round,@ TBD,TBD
20240324,TBDNIT - 2nd Round,@ TBD,2:00 PM
20240324,TBDNIT - 2nd Round,@ TBD,6:30 PM
20240324,TBDNIT - 2nd Round,@ TBD,8:00 PM
20240324,TBDNIT - 2nd Round,@ TBD,8:30 PM
20240324,Northern ColoradoRo CBI - 1st Round,@ Cleveland State,10:00 AM
20240324,MontanaRo CBI - 1st Round,@ Presbyterian,12:00 PM
20240324,FairfieldRo CBI - 1st Round,@ Little Rock,2:30 PM
20240324,QuinnipiacRo CBI - 1st Round,@ Evansville,4:30 PM
20240325,High PointRo CBI - Quarterfinal,@ TBD,11:00 AM
20240325,TBDRo CBI - Quarterfinal,@ TBD,1:00 PM
20240325,TBDRo CBI - Quarterfinal,@ TBD,3:30 PM
20240325,TBDRo CBI - Quarterfinal,@ TBD,5:30 PM
20240326,TBDNIT - Quarterfinal,@ TBD,6:00 PM
20240326,TBDNIT - Quarterfinal,@ TBD,8:00 PM
20240326,TBDRo CBI - Semifinal,@ TBD,6:00 PM
20240326,TBDRo CBI - Semifinal,@ TBD,8:00 PM
20240327,TBDNIT - Quarterfinal,@ TBD,6:00 PM
20240327,TBDNIT - Quarterfinal,@ TBD,8:00 PM
20240327,TBDRo CBI Championship,@ TBD,4:00 PM
20240328,TBDMen's Basketball Championship - East Region - Sweet 16,@ TBD,TBD
20240328,TBDMen's Basketball Championship - East Region - Sweet 16,@ TBD,TBD
20240328,TBDMen's Basketball Championship - West Region - Sweet 16,@ TBD,TBD
20240328,TBDMen's Basketball Championship - West Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - South Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - South Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - Midwest Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - Midwest Region - Sweet 16,@ TBD,TBD
20240330,TBDMen's Basketball Championship - West Region - Elite 8,@ TBD,TBD
20240330,TBDMen's Basketball Championship - East Region - Elite 8,@ TBD,TBD
20240331,TBDMen's Basketball Championship - Midwest Region - Elite 8,@ TBD,TBD
20240331,TBDMen's Basketball Championship - South Region - Elite 8,@ TBD,TBD
20240402,TBDNIT - Semifinal,@ TBD,6:00 PM
20240402,TBDNIT - Semifinal,@ TBD,8:30 PM
20240404,TBDNIT - Championship,@ TBD,6:00 PM
20240406,TBDMen's Basketball Championship - Final Four,@ TBD,TBD
20240406,TBDMen's Basketball Championship - Final Four,@ TBD,TBD
20240408,TBDMen's Basketball Championship - National Championship,@ TBD,TBD
