Date,Team,OppTeam
03/24/2024,Marquette,Colorado
03/24/2024,Purdue,Utah State
03/24/2024,Duke,James Madison
03/24/2024,Baylor,Clemson
03/24/2024,Alabama,Grand Canyon
03/24/2024,Houston,Texas A&M
03/24/2024,San Diego State,Yale
