Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4,
Oklahoma St.,Big 12,120,120,46,108,12-19,4-14,8-5,1-9,24,325,2-12,1-5,3-1,6-1,
UC San Diego,Big West,121,121,224,206,19-11,15-5,4-6,7-8,265,232,0-3,1-2,5-3,13-3,
Georgia Tech,ACC,122,122,16,95,14-17,7-13,7-4,4-9,34,89,4-6,4-7,3-4,3-0,
California,Pac-12,123,123,38,105,13-18,9-11,4-7,3-8,73,209,2-8,4-4,5-4,2-2,
Drexel,CAA,124,124,213,202,19-12,13-6,6-6,6-10,243,236,1-1,0-3,4-6,14-2,
Arizona St.,Pac-12,125,125,13,94,14-17,8-12,6-5,3-8,60,67,2-9,6-3,3-4,3-1,
Notre Dame,ACC,126,126,44,107,12-19,7-13,5-6,2-10,51,109,1-9,4-3,3-5,4-2,
Seattle U,WAC,127,127,183,192,17-13,11-9,6-4,4-9,227,244,0-2,1-2,4-7,12-2,
Toledo,MAC,128,128,179,191,20-11,14-4,6-7,8-5,210,104,0-3,1-2,8-4,11-2,
Oakland,Horizon,129,129,176,190,22-11,17-5,5-6,9-7,155,14,1-5,1-0,7-6,13-0,
Liberty,CUSA,130,130,159,185,15-13,7-9,8-4,2-8,175,102,0-2,0-3,9-3,6-5,
Michigan,Big Ten,131,132,1,72,8-23,3-17,5-6,2-10,3,48,3-12,1-7,2-3,2-1,
Colgate,Patriot,132,131,325,244,23-9,18-2,5-7,10-5,259,40,0-2,1-3,2-1,20-3,
UNC Greensboro,SoCon,133,133,172,188,19-11,12-7,7-4,7-7,216,242,0-2,2-2,7-5,10-2,
Youngstown St.,Horizon,134,134,262,218,18-10,14-7,4-3,8-7,296,139,0-1,0-2,6-5,12-2,
Tulane,AAC,135,135,104,146,13-16,5-13,8-3,2-8,111,291,0-4,1-6,5-5,7-1,
Montana,Big Sky,136,136,257,217,19-10,13-6,6-4,8-7,236,79,0-3,0-0,3-4,16-3,
Tarleton St.,WAC,137,137,165,187,20-8,16-4,4-4,10-5,157,47,0-4,2-0,7-1,11-3,
South Dakota St.,Summit League,138,146,236,209,18-12,14-4,4-8,6-5,305,217,0-1,0-2,6-4,12-5,
Troy,Sun Belt,139,138,224,206,17-12,13-6,4-6,5-9,281,198,0-1,1-1,3-8,13-2,
Chattanooga,SoCon,140,139,195,197,19-12,13-7,6-5,8-7,226,267,0-2,2-2,6-6,11-2,
Eastern Wash.,Big Sky,141,141,240,210,19-11,15-4,4-7,10-9,169,25,0-4,0-3,4-2,15-2,
UMass Lowell,America East,142,142,304,235,18-9,12-5,6-4,10-6,329,311,0-0,1-3,3-3,14-3,
Furman,SoCon,143,143,138,173,15-15,11-9,4-6,4-10,176,182,0-2,1-6,5-6,9-1,
UT Arlington,WAC,144,144,144,177,16-13,13-7,3-6,5-10,124,12,0-5,1-2,2-5,13-1,
Missouri St.,MVC,145,145,119,160,17-16,9-13,8-3,4-10,125,309,1-5,2-3,5-5,9-3,
Arkansas St.,Sun Belt,146,140,165,187,18-16,13-8,5-8,5-11,156,115,0-4,1-3,7-6,10-3,
Towson,CAA,147,147,176,190,19-14,13-8,6-6,6-6,167,97,0-3,1-4,5-4,13-3,
Ohio,MAC,148,149,267,219,18-12,13-5,5-7,5-7,348,350,0-0,0-2,5-8,13-2,
Louisiana,Sun Belt,149,150,192,196,17-14,11-9,6-5,5-9,222,176,0-3,0-3,6-5,11-3,
Wyoming,Mountain West,150,151,85,128,13-16,8-10,5-6,3-10,76,127,0-10,3-2,3-3,7-1,
Sam Houston,CUSA,151,153,179,191,18-11,13-3,5-8,7-9,186,131,0-2,1-4,6-2,11-3,
Wright St.,Horizon,152,154,195,197,16-14,13-8,3-6,7-6,270,133,0-1,1-3,5-8,10-2,
Western Ky.,CUSA,153,155,236,209,16-11,8-8,8-3,6-7,318,345,0-0,1-1,5-6,10-4,
Weber St.,Big Sky,154,148,232,207,17-12,11-8,6-4,7-7,239,88,1-1,1-0,5-6,10-5,
Missouri,SEC,155,156,58,112,8-23,0-18,8-5,2-10,30,96,1-9,1-9,1-4,5-1,
Wichita St.,AAC,156,157,102,141,12-18,5-13,7-5,2-10,114,195,0-4,3-5,3-7,6-2,
West Virginia,Big 12,157,158,2,77,9-22,4-14,5-8,0-9,12,154,2-11,2-9,3-0,2-2,
St. Thomas (MN),Summit League,158,152,319,241,17-13,10-8,7-5,6-9,337,318,0-1,0-1,1-5,16-6,
Purdue Fort Wayne,Horizon,159,159,311,237,19-12,12-10,7-2,8-7,319,303,0-2,1-2,4-4,14-4,
Longwood,Big South,160,160,281,226,18-13,9-10,9-3,6-10,301,324,0-1,1-2,4-4,13-6,
Oregon St.,Pac-12,161,161,30,101,12-18,5-15,7-3,1-9,70,140,1-9,3-7,3-2,5-0,
Fairfield,MAAC,162,162,311,237,19-11,14-6,5-5,10-6,345,294,0-0,1-2,4-3,14-6,
UNC Asheville,Big South,163,163,191,195,19-12,14-5,5-7,5-7,246,145,0-1,1-4,7-5,11-2,
Bryant,America East,164,164,224,206,18-12,12-5,6-7,8-9,193,95,1-2,0-3,4-5,13-2,
Utah Valley,WAC,165,165,137,172,14-15,11-9,3-6,5-10,154,58,0-3,0-4,6-6,8-2,
Lipscomb,ASUN,166,166,276,224,18-12,11-6,7-6,6-9,279,144,0-2,1-2,4-3,13-5,
Delaware,CAA,167,167,244,211,18-14,11-9,7-5,8-6,291,300,1-0,0-4,2-8,15-2,
Quinnipiac,MAAC,168,168,321,242,22-8,15-5,7-3,10-5,344,292,0-1,0-1,4-3,18-3,
UC Davis,Big West,169,169,216,203,17-12,14-6,3-6,8-6,275,281,0-2,2-0,5-5,10-5,
SFA,WAC,170,170,186,194,15-14,10-10,5-4,5-8,218,230,1-2,0-2,5-6,9-4,
Murray St.,MVC,171,171,104,146,11-20,9-12,2-8,4-9,119,215,0-5,2-4,4-9,5-2,
Hawaii,Big West,172,172,216,203,17-13,11-9,6-4,4-6,284,302,0-1,0-5,3-5,14-2,
A&M-Corpus Christi,Southland,173,173,337,250,17-10,14-4,3-6,8-7,215,45,0-4,0-1,2-1,15-4,
Stony Brook,CAA,174,179,186,194,19-14,13-8,6-6,4-11,181,90,0-3,0-4,3-5,16-2,
Kent St.,MAC,175,175,208,200,13-16,8-10,5-6,4-9,223,120,0-2,0-3,3-7,10-4,
Illinois St.,MVC,176,176,120,161,14-17,9-12,5-5,4-8,142,287,1-3,0-4,7-5,6-5,
ETSU,SoCon,177,177,153,183,17-16,11-11,6-5,5-11,174,155,0-4,0-4,7-7,10-1,
Winthrop,Big South,178,178,222,204,14-15,8-9,6-6,6-9,198,101,0-3,0-3,3-6,11-3,
Long Beach St.,Big West,179,180,205,199,16-14,10-10,6-4,9-7,234,191,0-2,2-2,6-4,8-6,
Wofford,SoCon,180,181,141,174,14-15,10-9,4-6,6-9,158,113,0-3,1-3,5-8,8-1,
Little Rock,OVC,181,182,347,258,21-12,15-5,6-7,6-6,362,360,0-0,0-0,2-4,19-8,
UIC,MVC,182,183,113,153,11-21,5-17,6-4,3-10,128,272,0-4,1-6,5-6,5-5,
Northern Ky.,Horizon,183,174,213,202,16-15,13-9,3-6,6-11,217,69,0-3,0-2,5-8,11-2,
Fordham,Atlantic 10,184,184,118,157,12-19,6-12,6-7,4-6,140,330,0-2,2-5,5-7,5-5,
Northern Colo.,Big Sky,185,185,294,230,17-13,12-7,5-6,7-8,325,295,0-1,0-1,2-5,15-6,
East Carolina,AAC,186,186,126,163,13-17,7-11,6-6,3-7,144,323,0-3,0-7,5-4,8-3,
Tulsa,AAC,187,187,153,183,15-14,7-11,8-3,2-9,200,359,0-2,0-3,7-7,8-2,
George Washington,Atlantic 10,188,188,127,164,14-16,4-14,10-2,1-9,135,351,0-3,1-5,6-5,7-3,
Monmouth,CAA,189,190,192,196,18-15,11-9,7-6,2-13,184,125,0-2,0-7,5-4,13-2,
Gardner-Webb,Big South,190,189,147,179,14-16,12-6,2-10,6-8,177,66,0-1,0-6,7-4,7-5,
Brown,Ivy League,191,192,149,181,11-17,8-6,3-11,6-8,160,266,0-2,2-3,4-8,5-4,
UTEP,CUSA,192,193,174,189,13-15,7-9,6-6,2-9,266,296,0-1,1-2,4-8,8-4,
Cleveland St.,Horizon,193,191,244,211,19-14,13-10,6-4,6-10,255,151,1-1,1-3,5-7,12-3,
Marist,MAAC,194,194,339,251,17-12,12-8,5-4,8-8,358,358,0-0,0-1,2-5,15-6,
La Salle,Atlantic 10,195,195,134,167,14-16,6-12,8-4,3-10,134,315,0-3,0-6,5-5,9-2,
Saint Louis,Atlantic 10,196,196,77,120,11-19,5-13,6-6,3-9,93,138,0-3,1-9,6-6,4-1,
California Baptist,WAC,197,197,216,203,13-16,8-12,5-4,4-9,271,344,0-2,0-2,5-6,8-6,
Georgetown,Big East,198,198,77,120,9-22,2-18,7-4,2-10,36,329,0-12,1-8,0-1,8-1,
LMU (CA),WCC,199,199,145,178,11-19,5-12,6-7,3-7,118,240,1-6,0-3,1-5,9-5,
Merrimack,NEC,200,200,350,260,19-11,15-3,4-8,7-9,290,83,0-4,0-1,2-1,17-5,
Saint Peter's,MAAC,201,201,286,229,15-13,12-8,3-5,8-8,321,194,0-1,0-2,2-5,13-5,
Evansville,MVC,202,202,120,161,15-17,7-15,8-2,4-11,109,206,0-7,1-3,3-6,11-1,
Vanderbilt,SEC,203,203,31,103,9-22,4-14,5-8,1-9,26,247,0-12,3-4,2-5,4-1,
Harvard,Ivy League,204,204,155,184,13-13,5-9,8-4,5-8,146,220,0-1,2-6,3-3,8-3,
UC Santa Barbara,Big West,205,205,232,207,14-14,9-11,5-3,6-7,286,317,0-2,0-2,5-5,9-5,
Jacksonville St.,CUSA,206,206,224,206,11-17,6-10,5-7,5-10,268,308,0-1,1-1,4-6,6-9,
Texas St.,Sun Belt,207,207,151,182,15-18,10-12,5-6,5-11,138,31,0-4,1-2,6-7,8-5,
UT Martin,OVC,208,208,323,243,17-11,14-5,3-6,9-7,294,123,0-2,0-2,2-4,15-3,
Stetson,ASUN,209,209,273,223,19-12,14-5,5-7,6-10,240,61,1-3,0-1,1-0,17-8,
Iona,MAAC,210,210,257,217,15-16,10-10,5-6,5-8,304,211,0-1,0-2,4-7,11-6,
Rhode Island,Atlantic 10,211,211,95,134,11-19,6-12,5-7,3-8,106,178,0-4,1-6,5-5,5-4,
Penn,Ivy League,212,212,130,165,9-18,3-11,6-7,2-10,103,60,0-4,1-4,1-7,7-3,
Milwaukee,Horizon,213,218,236,209,18-14,15-8,3-6,6-9,277,153,0-2,0-2,8-7,10-3,
Lamar University,Southland,214,215,350,260,17-13,13-6,4-7,5-10,334,288,0-2,0-2,0-3,17-6,
Mercer,SoCon,215,213,162,186,14-16,9-11,5-5,4-9,191,222,0-2,2-4,3-5,9-5,
Louisville,ACC,216,214,58,112,8-23,3-17,5-6,1-10,65,286,0-10,1-6,2-6,5-1,
Rider,MAAC,217,217,224,206,14-16,12-8,2-8,6-12,197,28,0-2,0-3,3-6,11-5,
Eastern Ky.,ASUN,218,216,267,219,14-14,12-5,2-9,4-10,238,80,0-2,0-1,1-6,13-5,
Austin Peay,ASUN,219,219,253,215,16-15,12-7,4-8,4-12,289,147,0-2,1-1,1-8,14-4,
Georgia St.,Sun Belt,220,220,208,200,12-17,8-11,4-6,5-11,199,186,0-3,0-4,3-3,9-7,
Norfolk St.,MEAC,221,221,334,249,17-10,11-3,6-7,6-8,300,158,0-1,1-1,2-4,14-4,
UC Riverside,Big West,222,222,174,189,13-17,10-10,3-7,4-12,172,74,0-4,1-2,3-5,9-6,
Pepperdine,WCC,223,223,143,176,11-20,6-12,5-8,3-8,107,141,0-8,0-4,2-3,9-5,
Montana St.,Big Sky,224,236,244,211,13-16,10-9,3-7,4-10,303,275,0-1,1-1,3-7,9-7,
Temple,AAC,225,224,131,166,11-19,5-13,6-6,5-7,141,259,0-3,1-6,3-5,7-5,
CSUN,Big West,226,225,257,217,16-14,9-11,7-3,9-7,312,353,0-1,1-3,3-5,12-5,
Green Bay,Horizon,227,227,236,209,16-14,13-8,3-6,8-8,258,132,0-2,1-1,7-5,8-6,
Columbia,Ivy League,228,226,213,202,10-14,4-10,6-4,4-8,205,343,0-2,0-3,2-6,8-3,
Abilene Christian,WAC,229,228,165,187,14-16,10-10,4-6,5-9,219,262,0-1,2-3,4-7,8-5,
Bowling Green,MAC,230,229,300,233,17-12,10-8,7-4,5-7,353,357,0-0,0-3,5-3,12-6,
Kansas City,Summit League,231,230,273,223,13-16,10-7,3-9,6-9,232,114,0-3,0-0,1-7,12-6,
New Hampshire,America East,232,231,240,210,15-14,8-9,7-5,7-9,202,110,0-2,0-2,4-4,11-6,
Cal St. Fullerton,Big West,233,232,159,185,12-18,7-13,5-5,6-10,148,34,0-5,0-3,4-4,8-6,
Radford,Big South,234,234,224,206,14-17,6-12,8-5,4-12,188,112,0-3,0-3,5-3,9-8,
Maine,America East,235,233,257,217,14-17,7-10,7-7,5-13,264,265,0-1,1-3,1-6,12-7,
Mount St. Mary's,MAAC,236,235,319,241,13-18,9-11,4-7,5-13,336,299,0-0,0-3,1-6,12-9,
Miami (OH),MAC,237,237,256,216,13-16,9-9,4-7,6-10,283,201,0-1,0-3,4-6,9-6,
Rice,AAC,238,238,116,154,10-20,5-13,5-7,5-7,104,68,1-4,1-6,1-6,7-4,
Southern Miss.,Sun Belt,239,241,205,199,14-16,9-10,5-6,5-9,260,214,0-1,2-2,5-6,7-7,
Fresno St.,Mountain West,240,240,103,142,10-20,4-14,6-6,3-9,82,237,0-10,0-5,0-3,10-2,
North Dakota,Summit League,241,239,325,244,15-14,10-7,5-7,7-8,332,314,0-2,0-0,2-5,13-7,
Nicholls,Southland,242,250,286,229,16-13,14-5,2-8,8-9,179,23,0-3,1-4,0-3,15-3,
San Jose St.,Mountain West,243,242,101,140,8-22,2-16,6-6,1-12,88,310,0-10,1-3,1-5,6-4,
Idaho St.,Big Sky,244,243,286,229,12-19,9-11,3-8,4-13,311,274,0-1,0-0,3-10,9-8,
Northeastern,CAA,245,244,195,197,12-20,7-12,5-8,4-13,212,170,0-3,0-2,3-11,9-4,
Marshall,Sun Belt,246,247,155,184,12-20,8-12,4-8,3-9,161,162,0-4,0-4,4-5,8-7,
FGCU,ASUN,247,245,253,215,11-18,8-9,3-9,4-10,245,92,0-2,1-2,0-5,10-9,
South Alabama,Sun Belt,248,248,240,210,14-15,8-11,6-4,5-9,241,252,0-2,0-2,3-7,11-4,
Portland St.,Big Sky,249,246,271,222,14-15,8-11,6-4,5-11,316,297,0-1,0-0,5-9,9-5,
Southern U.,SWAC,250,249,327,245,15-13,12-6,3-7,7-11,152,3,2-4,0-1,0-0,13-8,
