Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4,
ULM,Sun Belt,306,306,199,198,9-19,6-13,3-6,3-12,164,100,0-4,0-0,3-8,6-7,
Robert Morris,Horizon,307,307,216,203,8-22,6-15,2-7,3-13,253,166,0-2,0-2,1-12,7-6,
Bethune-Cookman,SWAC,308,308,355,269,14-15,11-7,3-8,5-11,340,169,0-2,0-1,0-2,14-10,
Elon,CAA,309,309,273,223,11-19,6-13,5-6,3-12,267,225,0-2,1-3,0-5,10-9,
Delaware St.,MEAC,310,310,344,252,11-17,6-8,5-9,4-11,320,224,0-2,0-1,0-4,11-10,
Alabama St.,SWAC,311,311,317,240,10-18,8-10,2-8,3-13,196,11,0-4,0-3,1-1,9-10,
Eastern Ill.,OVC,312,312,304,235,10-18,8-11,2-7,4-11,206,20,0-3,0-2,2-3,8-10,
Northern Ariz.,Big Sky,313,313,248,213,14-19,7-12,7-7,6-12,228,149,0-3,1-0,2-10,11-6,
Lafayette,Patriot,314,314,308,236,10-21,10-9,0-12,6-9,335,210,0-1,1-2,0-8,9-10,
Charleston So.,Big South,315,315,162,186,7-20,6-11,1-9,3-12,149,32,0-3,0-3,3-5,4-9,
Sacramento St.,Big Sky,316,316,211,201,8-23,6-14,2-9,2-13,274,202,0-1,0-2,4-9,4-11,
Navy,Patriot,317,317,362,276,12-18,9-11,3-7,3-13,360,340,0-0,0-3,0-3,12-12,
Bellarmine,ASUN,318,318,199,198,5-23,4-12,1-11,2-16,171,41,0-4,0-1,1-7,4-11,
Coastal Carolina,Sun Belt,319,319,199,198,7-22,6-14,1-8,1-9,272,348,0-2,0-3,1-8,6-9,
Idaho,Big Sky,320,320,257,217,9-21,5-14,4-7,4-10,302,278,0-1,0-2,2-9,7-9,
South Dakota,Summit League,321,321,303,234,9-20,5-12,4-8,2-12,349,339,0-1,0-0,1-7,8-12,
DePaul,Big East,322,322,10,90,3-28,0-20,3-8,0-11,9,121,0-15,0-8,0-2,3-3,
Eastern Mich.,MAC,323,323,286,229,11-18,6-12,5-6,4-11,306,270,0-2,1-1,0-6,10-9,
William & Mary,CAA,324,324,281,226,8-23,5-15,3-8,2-13,324,347,0-1,0-2,0-11,8-9,
FDU,NEC,325,325,356,270,13-17,9-8,4-9,8-9,356,290,0-2,0-0,0-2,13-13,
Prairie View,SWAC,326,326,327,245,8-21,5-13,3-8,4-15,252,37,0-3,0-3,2-1,6-14,
Ark.-Pine Bluff,SWAC,327,327,346,256,9-18,8-10,1-8,5-12,208,9,0-3,0-2,0-1,9-12,
Alabama A&M,SWAC,328,328,331,247,10-21,9-9,1-12,3-14,309,126,0-2,0-2,0-6,10-11,
Northwestern St.,Southland,329,330,304,235,7-23,7-12,0-11,3-13,247,116,0-3,0-3,0-3,7-14,
UTRGV,WAC,330,331,151,182,4-25,2-18,2-7,1-14,182,165,0-3,0-2,2-10,2-10,
Southern Ind.,OVC,331,332,286,229,5-24,5-14,0-10,3-13,225,46,0-3,1-1,0-6,4-14,
NJIT,America East,332,333,253,215,6-21,3-13,3-8,2-13,256,239,0-1,0-3,3-4,3-13,
Tex. A&M-Commerce,Southland,333,329,262,218,10-20,7-13,3-7,4-12,150,10,0-6,1-1,0-3,9-10,
Dartmouth,Ivy League,334,334,138,173,4-21,2-12,2-9,0-14,145,249,0-2,0-4,0-9,4-6,
Manhattan,MAAC,335,335,248,213,6-22,4-16,2-6,4-12,244,55,0-2,0-0,1-9,5-11,
Tennessee Tech,OVC,336,336,295,231,7-21,5-13,2-8,3-13,307,183,0-1,0-1,0-8,7-11,
Morgan St.,MEAC,337,337,308,236,8-19,7-7,1-12,3-12,214,73,0-3,0-2,0-4,8-10,
Hampton,CAA,338,338,276,224,6-24,4-16,2-8,1-12,338,355,0-0,0-3,1-10,5-11,
Army West Point,Patriot,339,340,354,268,8-22,6-13,2-9,4-11,361,354,0-0,0-2,0-2,8-18,
New Orleans,Southland,340,339,286,229,6-23,5-15,1-8,2-15,221,53,0-3,0-4,0-3,6-13,
Cal Poly,Big West,341,341,186,194,3-28,0-20,3-8,0-16,293,335,0-1,0-2,1-13,2-12,
N.C. A&T,CAA,342,342,234,208,7-25,5-14,2-11,2-14,201,128,0-3,0-6,0-7,7-9,
Central Ark.,ASUN,343,343,300,233,7-23,5-11,2-12,4-13,322,285,0-2,0-0,1-7,6-14,
Florida A&M,SWAC,344,344,276,224,5-22,4-14,1-8,2-14,136,1,0-6,0-2,0-0,5-14,
Buffalo,MAC,345,345,199,198,3-27,2-16,1-11,2-11,242,174,0-3,0-2,0-10,3-12,
UIW,Southland,346,346,339,251,6-23,3-15,3-8,3-14,331,327,0-2,0-1,1-4,5-16,
LIU,NEC,347,347,339,251,7-22,6-11,1-11,1-17,342,253,0-0,0-3,1-7,6-12,
