team1,team2
Arizona,L
North Carolina,W
Illinois,M
South Carolina,O
Dayton,N
Texas,V
Kentucky,O
Gonzaga,M
Iowa State,S
Tennessee,S
Texas Tech,N
Kansas,S
Washington State,D
Florida Atlanta,N
Baylor,C
San Diego State,U
Marquette,W
UConn,S
Clemson,N
Auburn,Y
Florida,B
Nebraska,T
Duke,V
Alabama,C
Wisconsin,J
Utah State,T
Saint Mary’s,G
