date,team,oppteam,location,teamscore,oppscore
11/6/2023,Saint Mary's (CA),Stanislaus St.,H,107,28
11/6/2023,William & Mary,Regent,H,84,29
11/6/2023,Houston,ULM,H,84,31
11/6/2023,Idaho St.,Warner Pacific,H,92,36
11/6/2023,Bowling Green,Chicago St.,H,70,41
11/6/2023,Southern Miss.,William Carey,H,64,42
11/6/2023,Tennessee,Tennessee Tech,H,80,42
11/6/2023,Liberty,Mid-Atlantic Christ.,H,103,43
11/6/2023,Chattanooga,Covenant,H,89,44
11/6/2023,George Washington,Stonehill,H,89,44
11/6/2023,Iowa St.,Green Bay,H,85,44
11/6/2023,UCLA,Saint Francis (PA),H,75,44
11/6/2023,Penn St.,Delaware St.,H,79,45
11/6/2023,Purdue,Samford,H,98,45
11/6/2023,Jacksonville,Johnson (FL),H,113,46
11/6/2023,Oregon St.,Linfield,H,82,46
11/6/2023,Kentucky,New Mexico St.,H,86,46
11/6/2023,Texas A&M,Tex. A&M-Commerce,H,78,46
11/6/2023,Troy,Fort Lauderdale,H,92,47
11/6/2023,Dayton,SIUE,H,63,47
11/6/2023,Hofstra,St. Joseph's (L.I.),H,101,48
11/6/2023,Kansas City,Avila,H,79,48
11/6/2023,Quinnipiac,Coast Guard,H,116,48
11/6/2023,Utah St.,South Dakota Mines,H,101,48
11/6/2023,Campbell,Navy,H,59,48
11/6/2023,Harvard,UMass Boston,H,78,50
11/6/2023,Virginia,Tarleton St.,H,80,50
11/6/2023,High Point,St. Andrews,H,105,51
11/6/2023,Sacred Heart,Sarah Lawrence,H,95,51
11/6/2023,UC Davis,Jessup,H,86,51
11/6/2023,UMass Lowell,Rivier,H,96,51
11/6/2023,Charlotte,Maine,H,69,52
11/6/2023,Illinois,Eastern Ill.,H,80,52
11/6/2023,Nebraska,Lindenwood,H,84,52
11/6/2023,Pittsburgh,N.C. A&T,H,100,52
11/6/2023,UConn,Northern Ariz.,H,95,52
11/6/2023,Omaha,Doane,H,85,53
11/6/2023,South Dakota,Mt. Marty,H,85,53
11/6/2023,Yale,Vassar,H,102,53
11/6/2023,South Carolina,USC Upstate,H,82,53
11/6/2023,Tulsa,Central Ark.,H,70,53
11/6/2023,Northwestern St.,Dallas Christian,H,101,54
11/6/2023,Stetson,Trinity Baptist,H,109,54
11/6/2023,Duke,Dartmouth,H,92,54
11/6/2023,Norfolk St.,Penn St.-Wilkes Barre,H,102,55
11/6/2023,North Florida,Coastal Ga.,H,92,55
11/6/2023,Butler,Eastern Mich.,H,94,55
11/6/2023,Marist,Army West Point,V,71,55
11/6/2023,New Mexico,Texas Southern,H,92,55
11/6/2023,Portland St.,Air Force,V,62,55
11/6/2023,Vermont,Merrimack,H,67,55
11/6/2023,Virginia Tech,Coppin St.,H,100,55
11/6/2023,ETSU,King (TN),H,73,56
11/6/2023,Illinois St.,Lourdes,H,75,56
11/6/2023,Clemson,Winthrop,H,78,56
11/6/2023,Kansas,N.C. Central,H,99,56
11/6/2023,Texas,UIW,H,88,56
11/6/2023,California Baptist,San Fran. St.,H,74,57
11/6/2023,Old Dominion,Va. Wesleyan,H,71,57
11/6/2023,Penn,John Jay,H,102,57
11/6/2023,South Carolina St.,Voorhees,H,65,57
11/6/2023,Southern Ill.,Kentucky St.,H,88,57
11/6/2023,Colorado,Towson,H,75,57
11/6/2023,Delaware,Bucknell,V,78,57
11/6/2023,Middle Tenn.,Northern Ky.,H,74,57
11/6/2023,Sam Houston,Pacific,V,64,57
11/6/2023,San Diego St.,Cal St. Fullerton,H,83,57
11/6/2023,Washington,Bellarmine,H,91,57
11/6/2023,Gardner-Webb,Erskine,H,98,58
11/6/2023,Kent St.,Malone,H,79,58
11/6/2023,Murray St.,Midway,H,91,58
11/6/2023,Northern Colo.,Colorado Col.,H,87,58
11/6/2023,Cincinnati,UIC,H,69,58
11/6/2023,Northeastern,Boston U.,H,67,58
11/6/2023,Charleston So.,Toccoa Falls,H,94,59
11/6/2023,San Francisco,Bethesda (CA),H,128,59
11/6/2023,UTRGV,S'western Adventist,H,110,59
11/6/2023,Abilene Christian,Oklahoma St.,V,64,59
11/6/2023,Arizona,Morgan St.,H,122,59
11/6/2023,Arkansas,Alcorn,H,93,59
11/6/2023,Manhattan,Bryant,V,61,59
11/6/2023,NC State,The Citadel,H,72,59
11/6/2023,Navy,Campbell,V,48,59
11/6/2023,Oklahoma,Central Mich.,H,89,59
11/6/2023,Ole Miss,Alabama St.,H,69,59
11/6/2023,Providence,Columbia,H,78,59
11/6/2023,Seton Hall,Saint Peter's,H,70,59
11/6/2023,Washington St.,Idaho,H,84,59
11/6/2023,West Virginia,Missouri St.,H,67,59
11/6/2023,Wichita St.,Lipscomb,H,76,59
11/6/2023,Indiana St.,St. Mary-Woods,H,90,60
11/6/2023,North Ala.,Blue Mountain (MS),H,93,60
11/6/2023,LSU,Mississippi Val.,H,106,60
11/6/2023,Miami (FL),NJIT,H,101,60
11/6/2023,Minnesota,Bethune-Cookman,H,80,60
11/6/2023,Saint Joseph's,Lafayette,H,81,60
11/6/2023,Toledo,Detroit Mercy,H,94,60
11/6/2023,East Carolina,Ferrum,H,91,61
11/6/2023,Tennessee St.,Fisk,H,76,61
11/6/2023,Valparaiso,Trinity Christian,H,100,61
11/6/2023,Bryant,Manhattan,H,59,61
11/6/2023,George Mason,Monmouth,H,72,61
11/6/2023,Northwestern,Binghamton,H,72,61
11/6/2023,Princeton,Rutgers,N,68,61
11/6/2023,Cal Poly,La Verne,H,80,62
11/6/2023,Air Force,Portland St.,H,55,62
11/6/2023,Georgia Tech,Ga. Southern,H,84,62
11/6/2023,Louisiana,Youngstown St.,H,72,62
11/6/2023,UCF,FIU,H,85,62
11/6/2023,Davidson,Wash. & Lee,H,86,63
11/6/2023,IUPUI,Spalding,H,70,63
11/6/2023,Montana St.,Northwest Indian,H,103,63
11/6/2023,SMU,S'western Assemblies,H,82,63
11/6/2023,BYU,Houston Christian,H,110,63
11/6/2023,Notre Dame,Niagara,H,70,63
11/6/2023,SIUE,Dayton,V,47,63
11/6/2023,Saint Louis,Southern Ind.,H,75,63
11/6/2023,Villanova,American,H,90,63
11/6/2023,Xavier,Robert Morris,H,77,63
11/6/2023,Pepperdine,CUI,H,76,64
11/6/2023,San Diego,Sonoma St.,H,68,64
11/6/2023,Western Ky.,Ky. Wesleyan,H,90,64
11/6/2023,Evansville,Miami (OH),H,72,64
11/6/2023,Fordham,Wagner,H,68,64
11/6/2023,Oklahoma St.,Abilene Christian,H,59,64
11/6/2023,Pacific,Sam Houston,H,57,64
11/6/2023,McNeese,VCU,V,76,65
11/6/2023,Temple,UMES,H,85,65
11/6/2023,Fresno St.,Fresno Pacific,H,77,66
11/6/2023,Lamar University,Jarvis Christian,H,114,66
11/6/2023,Prairie View,Kansas Christian,H,89,66
11/6/2023,UNCW,Mount Olive,H,105,66
11/6/2023,California,St. Thomas (MN),H,71,66
11/6/2023,Little Rock,Texas St.,H,71,66
11/6/2023,Utah,Eastern Wash.,H,101,66
11/6/2023,Grambling,UNT Dallas,H,82,67
11/6/2023,Rider,Immaculata,H,113,67
11/6/2023,Boston U.,Northeastern,V,58,67
11/6/2023,Grand Canyon,Southeast Mo. St.,H,88,67
11/6/2023,Merrimack,Vermont,V,55,67
11/6/2023,Missouri St.,West Virginia,V,59,67
11/6/2023,Furman,North Greenville,H,84,68
11/6/2023,SFA,North American,H,96,68
11/6/2023,Wofford,Brevard,H,85,68
11/6/2023,Rutgers,Princeton,N,61,68
11/6/2023,UTSA,Western Ill.,H,78,68
11/6/2023,Wagner,Fordham,V,64,68
11/6/2023,Alabama St.,Ole Miss,V,59,69
11/6/2023,Col. of Charleston,Iona,H,71,69
11/6/2023,Maine,Charlotte,V,52,69
11/6/2023,Southern California,Kansas St.,N,82,69
11/6/2023,St. Bonaventure,Longwood,H,73,69
11/6/2023,UIC,Cincinnati,V,58,69
11/6/2023,New Orleans,Millsaps,H,100,70
11/6/2023,Boston College,Fairfield,H,89,70
11/6/2023,Central Ark.,Tulsa,V,53,70
11/6/2023,Chicago St.,Bowling Green,V,41,70
11/6/2023,Colgate,Brown,H,72,70
11/6/2023,Marquette,NIU,H,92,70
11/6/2023,Niagara,Notre Dame,V,63,70
11/6/2023,North Carolina,Radford,H,86,70
11/6/2023,Rhode Island,Central Conn. St.,H,81,70
11/6/2023,Saint Peter's,Seton Hall,V,59,70
11/6/2023,Mercer,Clark Atlanta,H,64,71
11/6/2023,Southeastern La.,Delta St.,H,90,71
11/6/2023,UTEP,McMurry,H,120,71
11/6/2023,Army West Point,Marist,H,55,71
11/6/2023,Bradley,UAB,V,73,71
11/6/2023,Iona,Col. of Charleston,V,69,71
11/6/2023,Oregon,Georgia,N,82,71
11/6/2023,Siena,Holy Cross,H,73,71
11/6/2023,St. Thomas (MN),California,V,66,71
11/6/2023,Texas St.,Little Rock,V,66,71
11/6/2023,UT Arlington,Oral Roberts,H,75,71
11/6/2023,Austin Peay,Life (GA),H,90,72
11/6/2023,Binghamton,Northwestern,V,61,72
11/6/2023,Brown,Colgate,V,70,72
11/6/2023,CSU Bakersfield,Southern Utah,H,73,72
11/6/2023,Miami (OH),Evansville,V,64,72
11/6/2023,Monmouth,George Mason,V,61,72
11/6/2023,Syracuse,New Hampshire,H,83,72
11/6/2023,The Citadel,NC State,V,59,72
11/6/2023,Youngstown St.,Louisiana,V,62,72
11/6/2023,Milwaukee,Wis.-Stout,H,91,73
11/6/2023,Utah Valley,Carroll (MT),H,81,73
11/6/2023,Alabama,Morehead St.,H,105,73
11/6/2023,Colorado St.,Louisiana Tech,H,81,73
11/6/2023,Florida,Loyola Maryland,H,93,73
11/6/2023,Holy Cross,Siena,V,71,73
11/6/2023,Longwood,St. Bonaventure,V,69,73
11/6/2023,Marshall,Queens (NC),H,89,73
11/6/2023,Ohio St.,Oakland,H,79,73
11/6/2023,Portland,Long Beach St.,H,78,73
11/6/2023,Southern Utah,CSU Bakersfield,V,72,73
11/6/2023,UAB,Bradley,H,71,73
11/6/2023,Northern Ky.,Middle Tenn.,V,57,74
11/6/2023,Akron,South Dakota St.,V,81,75
11/6/2023,Oral Roberts,UT Arlington,V,71,75
11/6/2023,Richmond,VMI,H,93,75
11/6/2023,Saint Francis (PA),UCLA,V,44,75
11/6/2023,Southern Ind.,Saint Louis,V,63,75
11/6/2023,TCU,Southern U.,H,108,75
11/6/2023,Towson,Colorado,V,57,75
11/6/2023,UT Martin,Champion Chris.,H,104,76
11/6/2023,James Madison,Michigan St.,V,79,76
11/6/2023,Lipscomb,Wichita St.,V,59,76
11/6/2023,North Dakota St.,Western Mich.,V,80,76
11/6/2023,VCU,McNeese,H,65,76
11/6/2023,Wisconsin,Arkansas St.,H,105,76
11/6/2023,Duquesne,Cleveland St.,H,79,77
11/6/2023,Memphis,Jackson St.,H,94,77
11/6/2023,Robert Morris,Xavier,V,63,77
11/6/2023,Bucknell,Delaware,H,57,78
11/6/2023,Columbia,Providence,V,59,78
11/6/2023,Cornell,Lehigh,V,84,78
11/6/2023,Long Beach St.,Portland,V,73,78
11/6/2023,Tex. A&M-Commerce,Texas A&M,V,46,78
11/6/2023,Wake Forest,Elon,H,101,78
11/6/2023,Western Ill.,UTSA,V,68,78
11/6/2023,Winthrop,Clemson,V,56,78
11/6/2023,Cleveland St.,Duquesne,V,77,79
11/6/2023,Delaware St.,Penn St.,V,45,79
11/6/2023,Michigan St.,James Madison,H,76,79
11/6/2023,Missouri,Ark.-Pine Bluff,H,101,79
11/6/2023,Oakland,Ohio St.,V,73,79
11/6/2023,Stanford,CSUN,H,88,79
11/6/2023,Bethune-Cookman,Minnesota,V,60,80
11/6/2023,Eastern Ill.,Illinois,V,52,80
11/6/2023,Howard,Hampton,H,92,80
11/6/2023,Tarleton St.,Virginia,V,50,80
11/6/2023,Tennessee Tech,Tennessee,V,42,80
11/6/2023,Western Mich.,North Dakota St.,H,76,80
11/6/2023,Central Conn. St.,Rhode Island,V,70,81
11/6/2023,Lafayette,Saint Joseph's,V,60,81
11/6/2023,Louisiana Tech,Colorado St.,V,73,81
11/6/2023,South Dakota St.,Akron,H,75,81
11/6/2023,Tulane,Nicholls,H,91,81
11/6/2023,Georgia,Oregon,N,71,82
11/6/2023,Kansas St.,Southern California,N,69,82
11/6/2023,USC Upstate,South Carolina,V,53,82
11/6/2023,South Alabama,Mobile,H,74,83
11/6/2023,Cal St. Fullerton,San Diego St.,V,57,83
11/6/2023,New Hampshire,Syracuse,V,72,83
11/6/2023,Ga. Southern,Georgia Tech,V,62,84
11/6/2023,Idaho,Washington St.,V,59,84
11/6/2023,Lehigh,Cornell,H,78,84
11/6/2023,Lindenwood,Nebraska,V,52,84
11/6/2023,ULM,Houston,V,31,84
11/6/2023,FIU,UCF,V,62,85
11/6/2023,Green Bay,Iowa St.,V,44,85
11/6/2023,UMES,Temple,V,65,85
11/6/2023,Coastal Carolina,Piedmont,H,88,86
11/6/2023,Fairleigh Dickinson,Buffalo,V,92,86
11/6/2023,New Mexico St.,Kentucky,V,46,86
11/6/2023,Radford,North Carolina,V,70,86
11/6/2023,Belmont,Georgia St.,H,89,87
11/6/2023,UC San Diego,Denver,H,95,87
11/6/2023,CSUN,Stanford,V,79,88
11/6/2023,Southeast Mo. St.,Grand Canyon,V,67,88
11/6/2023,UIW,Texas,V,56,88
11/6/2023,Central Mich.,Oklahoma,V,59,89
11/6/2023,Fairfield,Boston College,V,70,89
11/6/2023,Georgia St.,Belmont,V,87,89
11/6/2023,Queens (NC),Marshall,V,73,89
11/6/2023,Stonehill,George Washington,V,44,89
11/6/2023,American,Villanova,V,63,90
11/6/2023,Bellarmine,Washington,V,57,91
11/6/2023,Nicholls,Tulane,V,81,91
11/6/2023,Buffalo,Fairleigh Dickinson,H,86,92
11/6/2023,Dartmouth,Duke,V,54,92
11/6/2023,Hampton,Howard,V,80,92
11/6/2023,NIU,Marquette,V,70,92
11/6/2023,Texas Southern,New Mexico,V,55,92
11/6/2023,Alcorn,Arkansas,V,59,93
11/6/2023,Louisville,UMBC,H,94,93
11/6/2023,Loyola Maryland,Florida,V,73,93
11/6/2023,VMI,Richmond,V,75,93
11/6/2023,Detroit Mercy,Toledo,V,60,94
11/6/2023,Eastern Mich.,Butler,V,55,94
11/6/2023,Jackson St.,Memphis,V,77,94
11/6/2023,UMBC,Louisville,V,93,94
11/6/2023,Denver,UC San Diego,V,87,95
11/6/2023,Northern Ariz.,UConn,V,52,95
11/6/2023,Samford,Purdue,V,45,98
11/6/2023,N.C. Central,Kansas,V,56,99
11/6/2023,Coppin St.,Virginia Tech,V,55,100
11/6/2023,N.C. A&T,Pittsburgh,V,52,100
11/6/2023,Ark.-Pine Bluff,Missouri,V,79,101
11/6/2023,Eastern Wash.,Utah,V,66,101
11/6/2023,Elon,Wake Forest,V,78,101
11/6/2023,NJIT,Miami (FL),V,60,101
11/6/2023,Arkansas St.,Wisconsin,V,76,105
11/6/2023,Morehead St.,Alabama,V,73,105
11/6/2023,Mississippi Val.,LSU,V,60,106
11/6/2023,Southern U.,TCU,V,75,108
11/6/2023,Houston Christian,BYU,V,63,110
11/6/2023,Morgan St.,Arizona,V,59,122
11/7/2023,Ball St.,Goshen,H,101,40
11/7/2023,Jacksonville St.,Brescia,H,91,41
11/7/2023,A&M-Corpus Christi,S'western Adventist,H,111,46
11/7/2023,Kennesaw St.,Oakwood,H,93,46
11/7/2023,App State,Oakland City,H,87,49
11/7/2023,Maryland,Mount St. Mary's,H,68,53
11/7/2023,Creighton,Florida A&M,H,105,54
11/7/2023,Boise St.,Vanguard,H,89,55
11/7/2023,Wyoming,Northern N.M.,H,104,56
11/7/2023,Rice,St. Thomas (TX),H,101,57
11/7/2023,Georgetown,Le Moyne,H,94,57
11/7/2023,Montana,Northwest Indian,H,107,59
11/7/2023,La Salle,Drexel,H,67,61
11/7/2023,Weber St.,Benedictine Mesa,H,96,62
11/7/2023,Presbyterian,Vanderbilt,V,68,62
11/7/2023,Indiana,FGCU,H,69,63
11/7/2023,Nevada,Sacramento St.,H,77,63
11/7/2023,San Jose St.,UC Irvine,H,72,64
11/7/2023,Western Caro.,Dalton St.,H,106,65
11/7/2023,Drexel,La Salle,V,61,67
11/7/2023,LMU (CA),Westcliff,H,109,68
11/7/2023,Iowa,North Dakota,H,110,68
11/7/2023,Mount St. Mary's,Maryland,V,53,68
11/7/2023,Vanderbilt,Presbyterian,H,62,68
11/7/2023,UC Riverside,UC Merced,H,76,69
11/7/2023,FGCU,Indiana,V,63,69
11/7/2023,Massachusetts,UAlbany,H,92,71
11/7/2023,Eastern Ky.,West Va. Tech,H,108,72
11/7/2023,UC Irvine,San Jose St.,V,64,72
11/7/2023,Michigan,UNC Asheville,H,99,74
11/7/2023,Purdue Fort Wayne,DePaul,V,82,74
11/7/2023,St. John's (NY),Stony Brook,H,90,74
11/7/2023,North Texas,UNI,H,83,77
11/7/2023,Sacramento St.,Nevada,V,63,77
11/7/2023,Baylor,Auburn,N,88,82
11/7/2023,DePaul,Purdue Fort Wayne,H,74,82
11/7/2023,UNI,North Texas,V,77,83
11/7/2023,Auburn,Baylor,N,82,88
11/7/2023,Stony Brook,St. John's (NY),V,74,90
11/7/2023,UAlbany,Massachusetts,V,71,92
11/7/2023,Le Moyne,Georgetown,V,57,94
11/7/2023,UNC Asheville,Michigan,V,74,99
11/7/2023,Florida A&M,Creighton,V,54,105
11/7/2023,North Dakota,Iowa,V,68,110
11/8/2023,New Hampshire,Curry,H,115,38
11/8/2023,Morehead St.,Shawnee St.,H,96,40
11/8/2023,Cleveland St.,Defiance,H,102,41
11/8/2023,Winthrop,Brevard,H,98,44
11/8/2023,Eastern Ill.,Monmouth (IL),H,91,45
11/8/2023,Texas Tech,Tex. A&M-Commerce,H,73,46
11/8/2023,New Mexico St.,Sul Ross St.,H,84,49
11/8/2023,SMU,Western Ill.,H,90,53
11/8/2023,South Dakota St.,Dakota Wesleyan,H,83,55
11/8/2023,Mississippi St.,Arizona St.,N,71,56
11/8/2023,Maine,Me.-Presque Isle,H,111,59
11/8/2023,Northern Colo.,Northern N.M.,H,81,60
11/8/2023,Seattle U,Prairie View,H,71,60
11/8/2023,Penn,Bucknell,H,80,61
11/8/2023,San Diego,Jackson St.,H,87,61
11/8/2023,Alcorn,Xavier (LA),H,70,62
11/8/2023,Fla. Atlantic,Loyola Chicago,N,75,62
11/8/2023,Fairleigh Dickinson,Penn St.-Brandywine,H,107,63
11/8/2023,North Dakota St.,Mt. Marty,H,93,66
11/8/2023,Saint Louis,Lincoln (MO),H,102,66
11/8/2023,Delaware,Goldey-Beacom,H,101,68
11/8/2023,Santa Clara,Utah Tech,H,77,69
11/8/2023,Drake,Lipscomb,H,85,70
11/8/2023,Ohio,Troy,H,88,70
11/8/2023,Arizona St.,Mississippi St.,N,56,71
11/8/2023,Prairie View,Seattle U,V,60,71
11/8/2023,Southern U.,UNLV,V,85,71
11/8/2023,Portland,Lewis & Clark,H,89,72
11/8/2023,Tex. A&M-Commerce,Texas Tech,V,46,73
11/8/2023,Loyola Chicago,Fla. Atlantic,N,62,75
11/8/2023,Syracuse,Canisius,H,89,77
11/8/2023,Utah Tech,Santa Clara,V,69,77
11/8/2023,Bryant,Fisher,H,140,79
11/8/2023,Bucknell,Penn,V,61,80
11/8/2023,Lipscomb,Drake,V,70,85
11/8/2023,UNLV,Southern U.,H,71,85
11/8/2023,Cornell,SUNY Morrisville,H,107,86
11/8/2023,Jackson St.,San Diego,V,61,87
11/8/2023,Troy,Ohio,V,70,88
11/8/2023,Canisius,Syracuse,V,77,89
11/8/2023,Western Ill.,SMU,V,53,90
11/9/2023,Purdue Fort Wayne,Andrews,H,130,34
11/9/2023,Stonehill,Army West Point,H,57,44
11/9/2023,Evansville,UHSP,H,116,46
11/9/2023,Hampton,Mid-Atlantic Christ.,H,109,46
11/9/2023,Iowa St.,Lindenwood,H,102,47
11/9/2023,Wagner,Molloy,H,83,48
11/9/2023,Towson,Coppin St.,V,70,49
11/9/2023,Michigan St.,Southern Ind.,H,74,51
11/9/2023,Morgan St.,Cheyney,H,100,52
11/9/2023,San Francisco,Saint Francis (PA),H,84,52
11/9/2023,South Fla.,South Carolina St.,H,96,52
11/9/2023,VMI,Christendom,H,87,53
11/9/2023,N.C. Central,Virginia-Lynchburg,H,107,54
11/9/2023,Nebraska,Florida A&M,H,81,54
11/9/2023,Green Bay,St. Francis (IL),H,72,56
11/9/2023,Norfolk St.,Apprentice,H,90,56
11/9/2023,Robert Morris,Point Park,H,66,56
11/9/2023,William & Mary,American,H,75,56
11/9/2023,Army West Point,Stonehill,V,44,57
11/9/2023,Presbyterian,Columbia Int'l,H,100,58
11/9/2023,Tennessee St.,Kentucky St.,H,83,58
11/9/2023,Saint Mary's (CA),New Mexico,H,72,58
11/9/2023,Southern California,CSU Bakersfield,H,85,59
11/9/2023,TCU,Omaha,H,82,60
11/9/2023,Mercer,Chicago St.,V,66,61
11/9/2023,Wichita St.,Western Ky.,H,71,61
11/9/2023,Middle Tenn.,SFA,H,67,62
11/9/2023,Tarleton St.,FIU,V,82,65
11/9/2023,Chicago St.,Mercer,H,61,66
11/9/2023,SIUE,North Park,H,92,67
11/9/2023,North Ala.,Alabama A&M,H,83,67
11/9/2023,SFA,Middle Tenn.,V,62,67
11/9/2023,SMU,Lamar University,H,78,67
11/9/2023,Washington,Northern Ky.,H,75,67
11/9/2023,Baylor,John Brown,H,96,70
11/9/2023,Coppin St.,Towson,H,49,70
11/9/2023,North Florida,Charleston So.,V,81,70
11/9/2023,Tulane,Northwestern St.,H,88,71
11/9/2023,Western Ky.,Wichita St.,V,61,71
11/9/2023,Merrimack,Worcester St.,H,93,72
11/9/2023,San Jose St.,Bethesda (CA),H,117,72
11/9/2023,UTEP,Science & Arts Okla.,H,123,72
11/9/2023,New Mexico,Saint Mary's (CA),V,58,72
11/9/2023,Ark.-Pine Bluff,Champion Chris.,H,116,73
11/9/2023,Southern Utah,LIFE Pacific,H,108,73
11/9/2023,CSUN,Idaho,V,76,73
11/9/2023,Utah Valley,Sam Houston,V,79,73
11/9/2023,Southern Ind.,Michigan St.,V,51,74
11/9/2023,American,William & Mary,V,56,75
11/9/2023,Northern Ky.,Washington,V,67,75
11/9/2023,Denver,Cal Poly,H,97,76
11/9/2023,Elon,ETSU,H,79,76
11/9/2023,Idaho,CSUN,H,73,76
11/9/2023,Portland St.,UC Santa Barbara,V,82,76
11/9/2023,Lamar University,SMU,V,67,78
11/9/2023,UC Davis,Pepperdine,H,79,78
11/9/2023,ETSU,Elon,V,76,79
11/9/2023,Pepperdine,UC Davis,V,78,79
11/9/2023,Sam Houston,Utah Valley,H,73,79
11/9/2023,Rhode Island,Fairfield,H,93,80
11/9/2023,Charleston So.,North Florida,H,70,81
11/9/2023,Florida A&M,Nebraska,V,54,81
11/9/2023,FIU,Tarleton St.,H,65,82
11/9/2023,Omaha,TCU,V,60,82
11/9/2023,UC Santa Barbara,Portland St.,H,76,82
11/9/2023,Alabama A&M,North Ala.,V,67,83
11/9/2023,Saint Francis (PA),San Francisco,V,52,84
11/9/2023,CSU Bakersfield,Southern California,V,59,85
11/9/2023,Georgia Tech,Howard,H,88,85
11/9/2023,Howard,Georgia Tech,V,85,88
11/9/2023,Northwestern St.,Tulane,V,71,88
11/9/2023,Fairfield,Rhode Island,V,80,93
11/9/2023,South Carolina St.,South Fla.,V,52,96
11/9/2023,Cal Poly,Denver,V,76,97
11/9/2023,Lindenwood,Iowa St.,V,47,102
11/9/2023,James Madison,Kent St.,V,113,108
11/9/2023,Kent St.,James Madison,H,108,113
11/10/2023,Central Ark.,Hendrix,H,82,39
11/10/2023,Oklahoma,Mississippi Val.,H,82,43
11/10/2023,George Mason,Austin Peay,H,67,45
11/10/2023,Rutgers,Boston U.,H,69,45
11/10/2023,Bethune-Cookman,Trinity (FL),H,113,46
11/10/2023,UMass Lowell,Dartmouth,V,81,48
11/10/2023,Stony Brook,St. Joseph's (L.I.),H,91,50
11/10/2023,UCLA,Lafayette,H,68,50
11/10/2023,Illinois,Oakland,H,64,53
11/10/2023,St. Thomas (MN),Idaho St.,H,54,53
11/10/2023,Utah,UC Riverside,H,82,53
11/10/2023,Akron,Southern Miss.,H,72,54
11/10/2023,Idaho St.,St. Thomas (MN),V,53,54
11/10/2023,McNeese,Biblical Stud. (TX),H,96,55
11/10/2023,Memphis,Missouri,V,70,55
11/10/2023,Butler,Southeast Mo. St.,H,91,56
11/10/2023,IUPUI,Valparaiso,V,66,56
11/10/2023,Xavier,Jacksonville,H,79,56
11/10/2023,Purdue,Morehead St.,H,87,57
11/10/2023,Villanova,Le Moyne,H,83,57
11/10/2023,Liberty,Charlotte,N,71,59
11/10/2023,Texas,Delaware St.,H,86,59
11/10/2023,Pittsburgh,Binghamton,H,89,60
11/10/2023,Cincinnati,Detroit Mercy,H,93,61
11/10/2023,Davidson,Maryland,N,64,61
11/10/2023,Kansas,Manhattan,H,99,61
11/10/2023,Kentucky,Tex. A&M-Commerce,H,81,61
11/10/2023,Oregon,Montana,H,75,61
11/10/2023,Saint Joseph's,Penn,H,69,61
11/10/2023,Michigan,Youngstown St.,H,92,62
11/10/2023,Radford,Marshall,N,66,62
11/10/2023,Colorado,Grambling,H,95,63
11/10/2023,Maryland,Davidson,N,61,64
11/10/2023,NC State,Abilene Christian,H,84,64
11/10/2023,Oakland,Illinois,V,53,64
11/10/2023,Ole Miss,Eastern Wash.,H,75,64
11/10/2023,BYU,San Diego St.,H,74,65
11/10/2023,Marquette,Rider,H,95,65
11/10/2023,Monmouth,West Virginia,V,73,65
11/10/2023,Penn St.,Lehigh,H,74,65
11/10/2023,VCU,Samford,H,75,65
11/10/2023,Washington St.,Prairie View,H,83,65
11/10/2023,California Baptist,Jackson St.,H,80,66
11/10/2023,Marshall,Radford,N,62,66
11/10/2023,Nicholls,LSU,V,68,66
11/10/2023,Northwestern,Dayton,H,71,66
11/10/2023,Texas A&M,Ohio St.,V,73,66
11/10/2023,Valparaiso,IUPUI,H,56,66
11/10/2023,Air Force,LIU,V,82,67
11/10/2023,Austin Peay,George Mason,V,45,67
11/10/2023,Florida St.,Kennesaw St.,H,94,67
11/10/2023,Iowa,Alabama St.,H,98,67
11/10/2023,Princeton,Hofstra,V,74,67
11/10/2023,Vanderbilt,USC Upstate,H,74,67
11/10/2023,Arkansas,Gardner-Webb,H,86,68
11/10/2023,LSU,Nicholls,H,66,68
11/10/2023,Lafayette,UCLA,V,50,68
11/10/2023,Southern Ill.,Queens (NC),H,91,68
11/10/2023,Temple,Navy,V,75,68
11/10/2023,Oral Roberts,Mid-Amer. Christian,H,74,69
11/10/2023,Boston U.,Rutgers,V,45,69
11/10/2023,Penn,Saint Joseph's,V,61,69
11/10/2023,Missouri,Memphis,H,55,70
11/10/2023,Quinnipiac,Central Conn. St.,H,74,70
11/10/2023,Tennessee,Wisconsin,V,80,70
11/10/2023,Virginia,Florida,N,73,70
11/10/2023,FGCU,Ave Maria,H,80,71
11/10/2023,Auburn,Southeastern La.,H,86,71
11/10/2023,Boston College,The Citadel,V,75,71
11/10/2023,Charlotte,Liberty,N,59,71
11/10/2023,Chattanooga,Louisville,V,81,71
11/10/2023,Dayton,Northwestern,V,66,71
11/10/2023,Gonzaga,Yale,H,86,71
11/10/2023,UIC,Little Rock,H,86,71
11/10/2023,Duquesne,Col. of Charleston,N,90,72
11/10/2023,Miami (FL),UCF,H,88,72
11/10/2023,Murray St.,Tennessee Tech,H,78,72
11/10/2023,Southern Miss.,Akron,V,54,72
11/10/2023,Arizona,Duke,V,78,73
11/10/2023,Florida,Virginia,N,70,73
11/10/2023,Ohio St.,Texas A&M,H,66,73
11/10/2023,Stanford,Sacramento St.,H,91,73
11/10/2023,West Virginia,Monmouth,H,65,73
